,Gross domestic product 2015,,,,,,,,
,,,,,,,,,
,,,,(millions of,,,,,
,Ranking,,Economy,US dollars),,,,,
,,,,,,,,,
USA,1,,United States," 17,946,996 ",,,,,
CHN,2,,China," 10,866,444 ",,,,,
JPN,3,,Japan," 4,123,258 ",,,,,
DEU,4,,Germany," 3,355,772 ",,,,,
GBR,5,,United Kingdom," 2,848,755 ",,,,,
FRA,6,,France," 2,421,682 ",,,,,
IND,7,,India," 2,073,543 ",,,,,
ITA,8,,Italy," 1,814,763 ",,,,,
BRA,9,,Brazil," 1,774,725 ",,,,,
CAN,10,,Canada," 1,550,537 ",,,,,
KOR,11,,"Korea, Rep."," 1,377,873 ",,,,,
AUS,12,,Australia," 1,339,539 ",,,,,
RUS,13,,Russian Federation," 1,326,015 ",a,,,,
ESP,14,,Spain," 1,199,057 ",,,,,
MEX,15,,Mexico," 1,144,331 ",,,,,
IDN,16,,Indonesia," 861,934 ",,,,,
NLD,17,,Netherlands," 752,547 ",,,,,
TUR,18,,Turkey," 718,221 ",,,,,
CHE,19,,Switzerland," 664,738 ",,,,,
SAU,20,,Saudi Arabia," 646,002 ",,,,,
ARG,21,,Argentina," 548,055 ",,,,,
SWE,22,,Sweden," 492,618 ",,,,,
NGA,23,,Nigeria," 481,066 ",,,,,
POL,24,,Poland," 474,783 ",,,,,
BEL,25,,Belgium," 454,039 ",,,,,
IRN,26,,"Iran, Islamic Rep."," 425,326 ",,,,,
THA,27,,Thailand," 395,282 ",,,,,
NOR,28,,Norway," 388,315 ",,,,,
AUT,29,,Austria," 374,056 ",,,,,
VEN,30,,"Venezuela, RB"," 371,337 ",,,,,
ARE,31,,United Arab Emirates," 370,293 ",,,,,
EGY,32,,"Egypt, Arab Rep."," 330,779 ",,,,,
ZAF,33,,South Africa," 312,798 ",,,,,
HKG,34,,"Hong Kong SAR, China"," 309,929 ",,,,,
MYS,35,,Malaysia," 296,218 ",,,,,
ISR,36,,Israel," 296,075 ",,,,,
DNK,37,,Denmark," 295,164 ",,,,,
SGP,38,,Singapore," 292,739 ",,,,,
COL,39,,Colombia," 292,080 ",,,,,
PHL,40,,Philippines," 291,965 ",,,,,
PAK,41,,Pakistan," 269,971 ",,,,,
CHL,42,,Chile," 240,216 ",,,,,
IRL,43,,Ireland," 238,020 ",,,,,
FIN,44,,Finland," 229,810 ",,,,,
PRT,45,,Portugal," 198,931 ",,,,,
GRC,46,,Greece," 195,212 ",,,,,
BGD,47,,Bangladesh," 195,079 ",,,,,
VNM,48,,Vietnam," 193,599 ",,,,,
PER,49,,Peru," 192,084 ",,,,,
KAZ,50,,Kazakhstan," 184,361 ",,,,,
CZE,51,,Czech Republic," 181,811 ",,,,,
ROM,52,,Romania," 177,954 ",,,,,
NZL,53,,New Zealand," 173,754 ",,,,,
IRQ,54,,Iraq," 168,607 ",,,,,
QAT,55,,Qatar," 166,908 ",,,,,
DZA,56,,Algeria," 166,839 ",,,,,
HUN,57,,Hungary," 120,687 ",,,,,
KWT,58,,Kuwait," 112,812 ",,,,,
PRI,59,,Puerto Rico," 103,135 ",,,,,
AGO,60,,Angola," 102,643 ",,,,,
ECU,61,,Ecuador," 100,872 ",,,,,
MAR,62,,Morocco," 100,360 ",b,,,,
UKR,63,,Ukraine," 90,615 ",a,,,,
SVK,64,,Slovak Republic," 86,582 ",,,,,
SDN,65,,Sudan," 84,067 ",,,,,
LKA,66,,Sri Lanka," 82,316 ",,,,,
CUB,67,,Cuba," 77,150 ",,,,,
OMN,68,,Oman," 70,255 ",,,,,
DOM,69,,Dominican Republic," 67,103 ",,,,,
UZB,70,,Uzbekistan," 66,733 ",,,,,
MMR,71,,Myanmar," 64,866 ",,,,,
GTM,72,,Guatemala," 63,794 ",,,,,
KEN,73,,Kenya," 63,398 ",,,,,
ETH,74,,Ethiopia," 61,537 ",,,,,
LUX,75,,Luxembourg," 57,794 ",,,,,
BLR,76,,Belarus," 54,609 ",,,,,
URY,77,,Uruguay," 53,443 ",,,,,
AZE,78,,Azerbaijan," 53,047 ",,,,,
PAN,79,,Panama," 52,132 ",,,,,
CRI,80,,Costa Rica," 51,107 ",,,,,
BGR,81,,Bulgaria," 48,953 ",,,,,
HRV,82,,Croatia," 48,732 ",,,,,
LBN,83,,Lebanon," 47,103 ",,,,,
MAC,84,,"Macao SAR, China"," 46,178 ",,,,,
TZA,85,,Tanzania," 44,895 ",c,,,,
TUN,86,,Tunisia," 43,015 ",,,,,
SVN,87,,Slovenia," 42,747 ",,,,,
LTU,88,,Lithuania," 41,244 ",,,,,
GHA,89,,Ghana," 37,864 ",,,,,
JOR,90,,Jordan," 37,517 ",,,,,
TKM,91,,Turkmenistan," 37,334 ",,,,,
SRB,92,,Serbia," 36,513 ",,,,,
YEM,93,,"Yemen, Rep."," 35,955 ",,,,,
ZAR,94,,"Congo, Dem. Rep."," 35,238 ",,,,,
BOL,95,,Bolivia," 33,197 ",,,,,
BHR,96,,Bahrain," 32,221 ",,,,,
CIV,97,,Côte d'Ivoire," 31,753 ",,,,,
CMR,98,,Cameroon," 29,198 ",,,,,
LBY,99,,Libya," 29,153 ",,,,,
TTO,100,,Trinidad and Tobago," 27,806 ",,,,,
PRY,101,,Paraguay," 27,623 ",,,,,
LVA,102,,Latvia," 27,035 ",,,,,
UGA,103,,Uganda," 26,369 ",,,,,
SLV,104,,El Salvador," 25,850 ",,,,,
EST,105,,Estonia," 22,691 ",,,,,
ZMB,106,,Zambia," 22,064 ",,,,,
NPL,107,,Nepal," 20,881 ",,,,,
HND,108,,Honduras," 20,152 ",,,,,
CYP,109,,Cyprus," 19,320 ",d,,,,
AFG,110,,Afghanistan," 19,199 ",,,,,
